sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,64,臭氧八小時,普通,0.8,0.14,46,59,25,5,2,2.5,0.5,4.4,100,"2024-12-01 16:00",,0.1,10,30,0,120.651472,22.260899,313
花蓮（美崙）,花蓮縣,37,,良好,0,0.26,44,40,20,6,4,7,2.6,4.4,153,"2024-12-01 16:00",,0.2,5.4,15,0,121.61575076,23.97709367,312
新北(樹林),新北市,53,細懸浮微粒,普通,2.5,0.34,58,38,40,16,11,11.3,0.5,0.2,287,"2024-12-01 16:00",,0.3,16.5,31,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,97,臭氧八小時,普通,1.9,0.27,77,69,41,21,6,6.4,0.3,0.4,135,"2024-12-01 16:00",,0.3,23,41,2,120.37722,22.35222,204
臺南（麻豆）,臺南市,69,細懸浮微粒,普通,2,0.18,62,55,38,19,5,5.3,0.7,2.3,350,"2024-12-01 16:00",,0.2,23,44,1,120.24583056,23.17904722,203
高雄（湖內）,高雄市,65,細懸浮微粒,普通,1.3,0.16,64,58,27,12,5,5,0.3,2.3,283,"2024-12-01 16:00",,0.2,21,36,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,68,細懸浮微粒,普通,2,0.27,70,61,44,16,6,7.1,1.2,1.3,325,"2024-12-01 16:00",,0.3,22.6,46,2,120.56373,23.96117,201
大城,彰化縣,81,細懸浮微粒,普通,1.3,0.14,74,63,26,15,2,3.7,1.1,4.6,28,"2024-12-01 16:00",,0.2,27.7,48,1,120.26964167,23.85493056,85
富貴角,新北市,61,臭氧八小時,普通,0.7,0.15,60,58,26,9,2,2.4,0.1,3.1,26,"2024-12-01 16:00",,0.1,9.7,26,1,121.53656894,25.29681695,84
麥寮,雲林縣,82,細懸浮微粒,普通,2.2,0.17,72,61,32,20,4,5,0.5,3,343,"2024-12-01 16:00",,0.2,27.9,41,2,120.251825,23.753506,83
